url,title
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-1,Learning Circles Introduction and Session 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-7,Ambulance – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-2,Dentist – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-5,Address – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-8,Medicine – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-3,Bus – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-4,Market – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-10,Supermarket – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-9,Shopping – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-11,Phone call – Part 1
http://www.bbc.co.uk/learningenglish/english/course/lower-intermediate/unit-1/session-2,Getting to know each other
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-14,Speaking at work – Part 1
http://www.bbc.co.uk/learningenglish/english/course/lower-intermediate/unit-1/session-1,Welcome to BBC Learning English
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-13,Job interview – Part 1
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-12,Cake – Part 1
http://www.bbc.co.uk/learningenglish/english/course/lower-intermediate/unit-1/session-3,Writing interview questions
http://www.bbc.co.uk/learningenglish/english/course/lower-intermediate/unit-1/session-4,"Dear Sir or Hey, folks?"
http://www.bbc.co.uk/learningenglish/english/course/lower-intermediate/unit-1/session-5,Welcome to Friday
http://www.bbc.co.uk/learningenglish/english/course/intermediate/unit-1/session-1,6 Minute Vocabulary
http://www.bbc.co.uk/learningenglish/english/course/intermediate/unit-1/session-2,Present Tenses Review
http://www.bbc.co.uk/learningenglish/english/course/intermediate/unit-1/session-3,The pop-up phenomenon
http://www.bbc.co.uk/learningenglish/english/course/intermediate/unit-1/session-4,Haggling in English
http://www.bbc.co.uk/learningenglish/english/course/intermediate/unit-1/session-5,Drama
http://www.bbc.co.uk/learningenglish/english/course/upper-intermediate/unit-1/session-1,Challenge Finn: The third conditional
http://www.bbc.co.uk/learningenglish/english/course/upper-intermediate/unit-1/session-2,News Review
http://www.bbc.co.uk/learningenglish/english/course/upper-intermediate/unit-1/session-3,Lingohack
http://www.bbc.co.uk/learningenglish/english/course/upper-intermediate/unit-1/session-4,Stop saying...!
http://www.bbc.co.uk/learningenglish/english/course/upper-intermediate/unit-1/session-5,Drama: The White Elephant
http://www.bbc.co.uk/learningenglish/english/course/towards-advanced/unit-1/session-1,BBC Masterclass
http://www.bbc.co.uk/learningenglish/english/course/towards-advanced/unit-1/session-2,News Review
http://www.bbc.co.uk/learningenglish/english/course/towards-advanced/unit-1/session-3,Lingohack
http://www.bbc.co.uk/learningenglish/english/course/emw/unit-1/session-6,Post office – Part 1
http://www.bbc.co.uk/learningenglish/english/course/english-you-need/unit-1/session-1,Exam skills: 6 top tips for revising
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-1,Trinculo is in a pickle
http://www.bbc.co.uk/learningenglish/english/course/english-you-need/unit-1/session-4,The Teachers' Room
http://www.bbc.co.uk/learningenglish/english/course/english-you-need/unit-1/session-3,Pronunciation in the News
http://www.bbc.co.uk/learningenglish/english/course/english-you-need/unit-1/session-2,News Review
http://www.bbc.co.uk/learningenglish/english/course/english-you-need/unit-1/session-5,Learners' Questions 
http://www.bbc.co.uk/learningenglish/english/course/towards-advanced/unit-1/session-5,Tim's Pronunciation Workshop: Assimilation of /t/ and /p/
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-2,About Shakespeare Speaks
http://www.bbc.co.uk/learningenglish/english/course/towards-advanced/unit-1/session-4,Treasure Island part one - 6 uses of 'time'
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-4,I'll send him packing
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-3,As dead as a doornail
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-5,"Gold, silver or lead?"
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-6,What's going on?!
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-8,Wild goose chase - Love is in the air!
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-7,"Though this be madness, yet there is method in't!"
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-9,What's done is done - get over it!
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-11,What's in a name?
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-13,What's up with Thomas?
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-18,A fool's paradise
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-10,Queen Elizabeth's treasure
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-16,Ssshhhh... Mum's the word!
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-15,Who's who?
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-12,"To the tower, or not to the tower..."
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-17,A pound of flesh
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-20,"To listen or not to listen, that is the question"
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-14,Trinculo is in a pickle
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-22,Greek to me
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-21,The whole world can see how you feel!
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-19,Not budge an inch
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-24,The Shakespeare review quiz
http://www.bbc.co.uk/learningenglish/english/course/shakespeare/unit-1/session-23,Lesson plans for teachers
